Product_Id,Name,URL,Color Count,Regular Price,Sale Price
6874682,"Karen Scott Short Sleeve Henley Top, Created for Macy's",https://www.macys.com//shop/product/karen-scott-short-sleeve-henley-top-created-for-macys?ID=6874682&CategoryID=255,14,1066.00,3260.00
12992604,"Alfani Printed Lantern Sleeve Top, Created for Macy's",https://www.macys.com//shop/product/alfani-printed-lantern-sleeve-top-created-for-macys?ID=12992604&CategoryID=255,14,5701.00,2850.00
13269522,"Style & Co Cotton V-Neck T-Shirt, Created for Macy's",https://www.macys.com//shop/product/style-co-cotton-v-neck-t-shirt-created-for-macys?ID=13269522&CategoryID=255,4,1599.00,1199.00
13293107,"Style & Co Drapey V-Neck Short Sleeve T-Shirt, Created for Macy's",https://www.macys.com//shop/product/style-co-drapey-v-neck-short-sleeve-t-shirt-created-for-macys?ID=13293107&CategoryID=255,2,2010.00,1199.00
13161048,"Style & Co Cotton Printed V-Neck T-Shirt, Created for Macy's",https://www.macys.com//shop/product/style-co-cotton-printed-v-neck-t-shirt-created-for-macys?ID=13161048&CategoryID=255,2,1599.00,1199.00
12955774,"Style & Co Cotton Tassel-Tie Top, Created for Macy's",https://www.macys.com//shop/product/style-co-cotton-tassel-tie-top-created-for-macys?ID=12955774&CategoryID=255,2,4060.00,1624.00
13263666,Vince Camuto Ruffle Blouse,https://www.macys.com//shop/product/vince-camuto-ruffle-blouse?ID=13263666&CategoryID=255,3,6480.00,3888.00
13083790,MICHAEL Michael Kors Smocked Flutter-Sleeve Top,https://www.macys.com//shop/product/michael-michael-kors-smocked-flutter-sleeve-top?ID=13083790&CategoryID=255,3,4757.00,2854.00
13209830,"Karen Scott Simple Dot Crewneck Top, Created for Macy's",https://www.macys.com//shop/product/karen-scott-simple-dot-crewneck-top-created-for-macys?ID=13209830&CategoryID=255,5,1066.00,2854.00
12950768,"Alfani Quarter-Zip Mock-Neck Top, Created for Macy's",https://www.macys.com//shop/product/alfani-quarter-zip-mock-neck-top-created-for-macys?ID=12950768&CategoryID=255,2,4880.00,2440.00
13093704,"Alfani Collared V-Neck Tunic, Created for Macy's",https://www.macys.com//shop/product/alfani-collared-v-neck-tunic-created-for-macys?ID=13093704&CategoryID=255,5,4880.00,2440.00
11186500,"JM Collection Scoop-Neck Top, Created for Macy's",https://www.macys.com//shop/product/jm-collection-scoop-neck-top-created-for-macys?ID=11186500&CategoryID=255,2,2830.00,2050.00
12862132,"Charter Club Cotton Tie-Hem T-Shirt, Created for Macy's",https://www.macys.com//shop/product/charter-club-cotton-tie-hem-t-shirt-created-for-macys?ID=12862132&CategoryID=255,6,4060.00,1624.00
12700290,"Charter Club Cotton Dot-Print Johnny Collar Long-Sleeve T-Shirt, Created for Macy's",https://www.macys.com//shop/product/charter-club-cotton-dot-print-johnny-collar-long-sleeve-t-shirt-created-for-macys?ID=12700290&CategoryID=255,5,2050.00,1624.00
13251383,Vince Camuto Metallic Puff-Shoulder Top,https://www.macys.com//shop/product/vince-camuto-metallic-puff-shoulder-top?ID=13251383&CategoryID=255,2,5660.00,3396.00
13206124,"INC International Concepts V-Neck 3/4-Sleeve Ribbed Top, Created for Macy's",https://www.macys.com//shop/product/inc-international-concepts-v-neck-3-4-sleeve-ribbed-top-created-for-macys?ID=13206124&CategoryID=255,2,2420.00,3396.00
13856037,"Alfani Boat-Neck 3/4-Sleeve Printed Tunic, Created for Macy's",https://www.macys.com//shop/product/alfani-boat-neck-3-4-sleeve-printed-tunic-created-for-macys?ID=13856037&CategoryID=255,2,4060.00,3396.00
13269527,"Style & Co Cotton Bandana Patch T-Shirt, Created for Macy's",https://www.macys.com//shop/product/style-co-cotton-bandana-patch-t-shirt-created-for-macys?ID=13269527&CategoryID=255,2,1599.00,3396.00
12895866,"Style & Co Long Sleeve Striped Crewneck Top, Created for Macy's",https://www.macys.com//shop/product/style-co-long-sleeve-striped-crewneck-top-created-for-macys?ID=12895866&CategoryID=255,2,2010.00,1507.00
13276519,"INC International Concepts Cotton V-Neck T-Shirt, Created for Macy's",https://www.macys.com//shop/product/inc-international-concepts-cotton-v-neck-t-shirt-created-for-macys?ID=13276519&CategoryID=255,2,2010.00,1507.00
12913759,"Charter Club Heart-Print Boatneck Top, Created for Macy's",https://www.macys.com//shop/product/charter-club-heart-print-boatneck-top-created-for-macys?ID=12913759&CategoryID=255,2,2050.00,1507.00
13930089,"Style & Co Scoop Neck Drapey Top, Created for Macy's",https://www.macys.com//shop/product/style-co-scoop-neck-drapey-top-created-for-macys?ID=13930089&CategoryID=255,2,3240.00,897.00
12955776,"Style & Co Cotton Tassel-Tie Top, Created for Macy's",https://www.macys.com//shop/product/style-co-cotton-tassel-tie-top-created-for-macys?ID=12955776&CategoryID=255,2,4060.00,1624.00
13899470,"Karen Scott Square-Neck Cotton Tank Top, Created for Macy's",https://www.macys.com//shop/product/karen-scott-square-neck-cotton-tank-top-created-for-macys?ID=13899470&CategoryID=255,2,1066.00,1624.00
10631775,"Karen Scott Fleece Sweatshirt, Created for Macy's",https://www.macys.com//shop/product/karen-scott-fleece-sweatshirt-created-for-macys?ID=10631775&CategoryID=255,22,1476.00,1624.00
13276518,"INC International Concepts Cotton V-Neck T-Shirt, Created for Macy's",https://www.macys.com//shop/product/inc-international-concepts-cotton-v-neck-t-shirt-created-for-macys?ID=13276518&CategoryID=255,22,2010.00,1624.00
13680889,1.STATE Sleeveless Wrap Front Top,https://www.macys.com//shop/product/1.state-sleeveless-wrap-front-top?ID=13680889&CategoryID=255,22,4019.00,1624.00
12673009,"Charter Club Embellished French Terry Top, Created for Macy's",https://www.macys.com//shop/product/charter-club-embellished-french-terry-top-created-for-macys?ID=12673009&CategoryID=255,22,4880.00,1952.00
13165634,"Karen Scott Long-Sleeve Cotton Henley, Created for Macy's",https://www.macys.com//shop/product/karen-scott-long-sleeve-cotton-henley-created-for-macys?ID=13165634&CategoryID=255,3,2994.00,1198.00
13131788,"JM Collection Printed Sheer-Hem Top, Created for Macy's",https://www.macys.com//shop/product/jm-collection-printed-sheer-hem-top-created-for-macys?ID=13131788&CategoryID=255,2,3240.00,2378.00
12949926,Charter Club Floral-Print Smocked Woven Top,https://www.macys.com//shop/product/charter-club-floral-print-smocked-woven-top?ID=12949926&CategoryID=255,2,4880.00,1952.00
12928709,"Charter Club Textured Rhinestone-Embellished Top, Created for Macy's",https://www.macys.com//shop/product/charter-club-textured-rhinestone-embellished-top-created-for-macys?ID=12928709&CategoryID=255,3,5701.00,2280.00
13891146,"INC International Concepts Tie-Neck Top, Created for Macy's",https://www.macys.com//shop/product/inc-international-concepts-tie-neck-top-created-for-macys?ID=13891146&CategoryID=255,3,4880.00,2440.00
12677732,"Karen Scott V-Neck 3/4-Sleeve Top, Created for Macy's",https://www.macys.com//shop/product/karen-scott-v-neck-3-4-sleeve-top-created-for-macys?ID=12677732&CategoryID=255,8,1066.00,2440.00
13889626,"Style & Co Printed Cotton Henley Top, Created for Macy's",https://www.macys.com//shop/product/style-co-printed-cotton-henley-top-created-for-macys?ID=13889626&CategoryID=255,8,3650.00,1460.00
13288564,"Style & Co Micro Paisley Print Short Sleeve T-Shirt, Created for Macy's",https://www.macys.com//shop/product/style-co-micro-paisley-print-short-sleeve-t-shirt-created-for-macys?ID=13288564&CategoryID=255,8,1599.00,1460.00
13236791,"Alfani Flutter-Sleeve T-Shirt, Created for Macy's",https://www.macys.com//shop/product/alfani-flutter-sleeve-t-shirt-created-for-macys?ID=13236791&CategoryID=255,2,3240.00,1460.00
13514442,"Bar III Printed V-Neck Top, Created for Macy's",https://www.macys.com//shop/product/bar-iii-printed-v-neck-top-created-for-macys?ID=13514442&CategoryID=255,2,4839.00,1460.00
13209826,"Karen Scott Peony Floral V-Neck Top, Created for Macy's",https://www.macys.com//shop/product/karen-scott-peony-floral-v-neck-top-created-for-macys?ID=13209826&CategoryID=255,2,1066.00,799.00
13003637,"JM Collection Printed Flutter-Sleeve Top, Created for Macy's",https://www.macys.com//shop/product/jm-collection-printed-flutter-sleeve-top-created-for-macys?ID=13003637&CategoryID=255,2,4470.00,1788.00
12719766,"Alfani Tie-Waist Tunic, Created for Macy's",https://www.macys.com//shop/product/alfani-tie-waist-tunic-created-for-macys?ID=12719766&CategoryID=255,2,5701.00,1471.00
12950764,"Alfani Crewneck Long-Sleeve Top, Created for Macy's",https://www.macys.com//shop/product/alfani-crewneck-long-sleeve-top-created-for-macys?ID=12950764&CategoryID=255,2,5701.00,2850.00
13083788,MICHAEL Michael Kors Smocked Flutter-Sleeve Top,https://www.macys.com//shop/product/michael-michael-kors-smocked-flutter-sleeve-top?ID=13083788&CategoryID=255,2,4757.00,2854.00
13209821,"Karen Scott Denim Mask Split-Neck Top, Created for Macy's",https://www.macys.com//shop/product/karen-scott-denim-mask-split-neck-top-created-for-macys?ID=13209821&CategoryID=255,2,1066.00,2854.00
13953034,"Alfani Crewneck T-Shirt, Created for Macy's",https://www.macys.com//shop/product/alfani-crewneck-t-shirt-created-for-macys?ID=13953034&CategoryID=255,3,2420.00,1210.00
13003646,"JM Collection Printed Faux-Layered Top, Created for Macy's",https://www.macys.com//shop/product/jm-collection-printed-faux-layered-top-created-for-macys?ID=13003646&CategoryID=255,3,3240.00,1296.00
13206123,"INC International Concepts Ribbed Tie-Dye-Print Top, Created for Macy's",https://www.macys.com//shop/product/inc-international-concepts-ribbed-tie-dye-print-top-created-for-macys?ID=13206123&CategoryID=255,3,2420.00,1296.00
13952922,"Alfani Printed Crewneck T-Shirt, Created for Macy's",https://www.macys.com//shop/product/alfani-printed-crewneck-t-shirt-created-for-macys?ID=13952922&CategoryID=255,5,2420.00,1210.00
13293098,"Style & Co Petite Floral-Print V-Neck T-Shirt, Created for Macy's",https://www.macys.com//shop/product/style-co-petite-floral-print-v-neck-t-shirt-created-for-macys?ID=13293098&CategoryID=255,5,1230.00,1210.00
13209823,"Karen Scott Brushed Gate Split-Neck Top, Created for Macy's",https://www.macys.com//shop/product/karen-scott-brushed-gate-split-neck-top-created-for-macys?ID=13209823&CategoryID=255,5,1066.00,1210.00
13265877,"Karen Scott Kare Scott V-Neck Cotton Tunic Tank Top, Created for Macy's",https://www.macys.com//shop/product/kare-scott-v-neck-cotton-tunic-tank-top-created-for-macys?ID=13265877&CategoryID=255,6,1066.00,1210.00
13849514,"Style & Co Dolman-Sleeve Top, Created for Macy's",https://www.macys.com//shop/product/style-co-dolman-sleeve-top-created-for-macys?ID=13849514&CategoryID=255,6,3240.00,1296.00
13029326,"Charter Club Lace-Sleeve Boatneck Top, Created for Macy's",https://www.macys.com//shop/product/charter-club-lace-sleeve-boatneck-top-created-for-macys?ID=13029326&CategoryID=255,6,4880.00,1952.00
13901094,"Karen Scott Pleated Split-Neck Top, Created for Macy's",https://www.macys.com//shop/product/karen-scott-pleated-split-neck-top-created-for-macys?ID=13901094&CategoryID=255,6,2994.00,1198.00
13206129,"INC International Concepts Cotton Puff-Sleeve Top, Created for Macy's",https://www.macys.com//shop/product/inc-international-concepts-cotton-puff-sleeve-top-created-for-macys?ID=13206129&CategoryID=255,6,2420.00,1198.00
13930235,"Style & Co Ruffled-Sleeve Top, Created for Macy's",https://www.macys.com//shop/product/style-co-ruffled-sleeve-top-created-for-macys?ID=13930235&CategoryID=255,6,3650.00,979.00
13894768,"Alfani V-Neck Top, Created for Macy's",https://www.macys.com//shop/product/alfani-v-neck-top-created-for-macys?ID=13894768&CategoryID=255,2,5701.00,1471.00
13646503,Vince Camuto Plus Size Floral-Print High-Low Top,https://www.macys.com//shop/product/vince-camuto-plus-size-floral-print-high-low-top?ID=13646503&CategoryID=255,2,8120.00,1471.00
13834051,"JM Collection Rhinestone Sheer-Overlay Top, Created for Macy's",https://www.macys.com//shop/product/jm-collection-rhinestone-sheer-overlay-top-created-for-macys?ID=13834051&CategoryID=255,5,4470.00,1788.00
13457182,Hippie Rose Juniors' Oversized Zipper Hoodie,https://www.macys.com//shop/product/hippie-rose-juniors-oversized-zipper-hoodie?ID=13457182&CategoryID=255,4,3117.00,1788.00
13288558,"Style & Co Striped Burnout V-Neck T-Shirt, Created for Macy's",https://www.macys.com//shop/product/style-co-striped-burnout-v-neck-t-shirt-created-for-macys?ID=13288558&CategoryID=255,4,1599.00,1788.00
13952656,"Alfani V-Neck T-Shirt, Created for Macy's",https://www.macys.com//shop/product/alfani-v-neck-t-shirt-created-for-macys?ID=13952656&CategoryID=255,4,2420.00,1210.00
13941441,"Style & Co Cotton Striped Boyfriend Shirt, Created for Macy's",https://www.macys.com//shop/product/style-co-cotton-striped-boyfriend-shirt-created-for-macys?ID=13941441&CategoryID=255,4,4060.00,1624.00
13008364,"JM Collection Printed Bell-Sleeve Top, Created for Macy's",https://www.macys.com//shop/product/jm-collection-printed-bell-sleeve-top-created-for-macys?ID=13008364&CategoryID=255,4,4470.00,1788.00
13930060,Nine West Foil Printed 3/4-Sleeve Blouse,https://www.macys.com//shop/product/nine-west-foil-printed-3-4-sleeve-blouse?ID=13930060&CategoryID=255,4,4839.00,1389.00
